"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexpressed"
"GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","13/237","100/11652",0.13,6.39139240506329,7.80171656846395,1.08912338002797e-07,1.84878693759749e-05,1.56991403002717e-05,"208628/52276/13614/268697/66977/76464/12236/21926/12235/18817/68612/67629/20877",13,4.73311313597841,"down"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE","22/237","292/11652",0.0753424657534247,3.70417894919369,6.74303639791005,1.2208758569685e-07,1.86451236659287e-05,1.58326741927176e-05,"140474/12266/17476/77777/12268/14961/21926/12262/12260/12259/20556/14960/16182/14727/14728/21948/26909/100504404/11687/16149/77125/17082",22,4.72943473178498,"down"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY","21/237","268/11652",0.0783582089552239,3.85244662762139,6.80699288629351,1.23568566269042e-07,1.86451236659287e-05,1.58326741927176e-05,"26365/140474/16590/12266/77777/12268/14961/21926/12262/12260/12259/20556/16182/13421/14727/14728/21948/26909/100504404/16149/19204",21,4.72943473178498,"down"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","18/237","202/11652",0.0891089108910891,4.38100012532899,6.98451001587722,1.50773916949767e-07,2.10872607850421e-05,1.79064368576185e-05,"26365/140474/12266/77777/12268/14961/21926/12262/12260/12259/20556/16182/14727/14728/21948/26909/100504404/16149",18,4.67597983103355,"down"
"GOBP_REGULATION_OF_NUCLEAR_DIVISION","GOBP_REGULATION_OF_NUCLEAR_DIVISION","14/237","121/11652",0.115702479338843,5.6884611361021,7.46977182195426,1.55281743630649e-07,2.10872607850421e-05,1.79064368576185e-05,"16878/208628/52276/13614/268697/66977/76464/12236/21926/12235/18817/68612/67629/20877",14,4.67597983103355,"down"
"GOBP_CHROMOSOME_LOCALIZATION","GOBP_CHROMOSOME_LOCALIZATION","13/237","105/11652",0.123809523809524,6.08704038577456,7.54471898343727,1.95452692275402e-07,2.5278548200952e-05,2.1465506204281e-05,"26934/52276/268697/100502766/66977/110033/76464/108000/18005/67849/67629/20877/66468",13,4.59724787209933,"down"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","19/237","232/11652",0.0818965517241379,4.02640768223483,6.70897521420492,2.54895932023509e-07,3.1468061426175e-05,2.67213869408377e-05,"140474/12266/77777/12268/14961/21926/12262/12260/12259/20556/16182/14727/14728/21948/26909/100504404/16149/77125/17082",19,4.50213001075209,"down"
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","15/237","146/11652",0.102739726027397,5.05115311253685,7.09758687188538,2.70017904648763e-07,3.18855925663496e-05,2.70759372579149e-05,"26934/12534/71819/12615/16551/52276/268697/72119/100502766/66977/26886/18005/218977/18817/20877",15,4.49640550761182,"down"
"GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE","GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE","9/237","46/11652",0.195652173913043,9.61915244909191,8.43956400531176,2.92827718846057e-07,3.31383368494121e-05,2.81397163154259e-05,"26934/52276/268697/66977/76464/18005/67629/20877/66468",9,4.47966929179019,"down"
"GOBP_MYELOID_LEUKOCYTE_ACTIVATION","GOBP_MYELOID_LEUKOCYTE_ACTIVATION","16/237","171/11652",0.0935672514619883,4.60019246428307,6.8336342612197,3.89863049691351e-07,4.23547217184684e-05,3.59658922894211e-05,"16590/217166/77777/21926/12978/171284/16534/12259/12796/13421/14727/24108/14728/77125/19204/17082",16,4.37309816734107,"down"
"GOBP_HUMORAL_IMMUNE_RESPONSE","GOBP_HUMORAL_IMMUNE_RESPONSE","13/237","113/11652",0.115044247787611,5.65609947350734,7.16630357150065,4.65430087137544e-07,4.86195429486758e-05,4.12857214946704e-05,"14038/20310/12266/12268/21926/12262/12260/12259/12796/20308/11801/26909/14962",13,4.31318912808834,"down"
"GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","25/237","400/11652",0.0625,3.07278481012658,6.07837048665466,5.888351595701e-07,5.92324553108293e-05,5.02977713301399e-05,"404710/12534/208628/12428/52276/268697/18973/66977/76464/12236/12704/77011/108000/12235/18817/12189/68612/71007/67849/27375/67629/20877/24108/636931/12322",25,4.22744026455907,"down"
"GOBP_CELL_CYCLE_PHASE_TRANSITION","GOBP_CELL_CYCLE_PHASE_TRANSITION","28/237","489/11652",0.0572597137014315,2.81514845590329,5.90872712466335,7.04427079709433e-07,6.8329426731815e-05,5.80225463023822e-05,"404710/12534/208628/12428/52276/268697/18973/56419/66977/19361/76464/12236/12704/12978/77011/108000/12235/18817/12189/68612/71007/67849/27375/67629/20877/24108/636931/12322",28,4.16539222289291,"down"
